íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,0,5,0,3,4,5,0,12.9,39.4,16.6
1,0,4,0,1,5,4,0,15.3,16.3,18
1,3,1,0,1,0,0,1,12.7,20.5,7.6
0,3,0,0,1,0,0,0,15.3,14.6,22.2
0,5,0,0,3,3,2,0,12,32,27.7
0,0,3,0,1,1,3,0,14.2,15.2,10
0,0,0,0,2,2,1,1,12.9,29.2,6.4
0,3,1,0,1,0,0,0,14.2,8.1,10.7
0,0,0,0,1,0,0,1,16.4,9.5,23.6
0,5,0,0,1,0,0,0,12,11.9,10.7
0,1,0,0,1,0,0,0,12.3,10.5,10.2
0,3,0,0,1,0,0,0,16.4,5.5,32.7
0,5,0,0,1,0,0,0,16.6,13.7,30.7
0,0,0,0,1,0,0,0,16.6,8.4,6
0,1,0,0,1,0,0,0,12.3,0,21.2
0,3,2,0,2,1,1,0,12.7,17,22
1,5,5,0,1,5,3,0,20.3,15.6,29.7
1,5,3,0,3,3,5,0,17,31,30.9
1,3,0,0,1,0,1,1,15.8,18.9,15.3
0,3,4,0,3,4,4,0,12.8,32.1,38.2
0,5,1,0,2,1,1,0,20,40.7,18.4
0,0,0,0,1,0,0,0,14.7,15.8,16.6
0,3,0,0,1,0,0,0,12.8,17.4,14.7
0,0,2,0,1,2,0,1,17.4,15.4,38.4
0,5,1,0,1,1,2,1,17.5,19.2,20.8
0,5,0,0,1,0,0,0,17.5,9.4,7.5
1,5,4,0,3,5,5,0,16.9,37,11.4
1,0,5,0,3,4,3,0,15.5,40.7,31.3
1,0,1,0,1,1,0,1,15,11.6,16.2
0,0,0,0,1,2,1,1,17.3,34.8,13.7
0,0,0,0,2,0,0,0,16.9,17.3,5.4
0,0,2,0,3,1,2,0,19.6,18.6,3.5
0,0,3,0,1,3,4,0,16.6,27.1,21.5
0,3,1,0,1,0,1,1,17.7,10,8.8
1,0,5,0,1,5,3,0,13.9,20.1,30.1
1,5,2,0,1,2,0,0,11.3,24.5,10.2
1,0,3,0,1,1,4,1,16.8,10.9,8.1
0,5,0,0,1,0,0,0,15.4,10.8,13
0,0,4,0,1,0,2,0,16.1,30.7,17.8
0,1,1,0,1,0,1,1,11.8,17.3,8.3
0,0,0,0,1,1,0,1,13.9,14.9,11.3
0,5,1,0,3,4,5,0,13,37,25.7
0,0,0,0,2,3,0,0,15.8,11.5,2.2
0,0,0,0,1,0,1,0,13,17.6,11.4
