,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,06,2019,03,03,02,01,703,1800,24,0,1,01,06,01,000001210,06,,,,01,000000180,03,05,000000190,04,04,000000110,01,,,,,,
0,06,2019,03,03,04,13,703,1800,24,0,1,11,16,05,000000270,02,,,,05,000000110,02,10,000000110,01,15,000000210,04,,,,,,
0,06,2019,03,03,05,12,703,2000,17,1,0,04,08,01,000000250,01,,,,01,000000120,01,14,000000210,04,06,000000190,03,,,,,,
0,09,2019,02,03,01,04,703,1800,24,0,1,01,01,04,000000300,01,,,,04,000000110,01,05,000000130,03,12,000000130,02,,,,,,
0,09,2019,02,03,01,08,703,1800,24,0,1,12,13,04,000000300,01,,,,04,000000110,01,05,000000130,03,12,000000130,02,,,,,,
0,09,2019,02,03,01,09,703,1800,24,0,1,09,07,04,000000300,01,,,,04,000000110,01,05,000000130,03,12,000000130,02,,,,,,
0,09,2019,02,03,02,04,703,1200,24,0,1,06,04,16,000000130,01,,,,16,000000100,01,08,000000540,08,15,000000120,02,,,,,,
0,09,2019,02,03,04,07,703,2000,17,1,0,04,07,12,000000420,03,,,,12,000000170,03,09,000000170,02,14,000000540,07,,,,,,
0,09,2019,02,03,09,07,005,2400,18,2,0,07,01,02,000000890,06,,,,02,000000250,06,04,000000170,03,08,000000150,02,,,,,,
0,09,2019,02,03,10,01,010,1400,17,2,0,08,07,04,000000580,04,,,,04,000000180,05,10,000000170,04,09,000000140,01,,,,,,
0,09,2019,02,03,11,12,999,1400,24,0,2,12,06,09,000000490,02,,,,09,000000150,02,03,000000140,01,15,000000190,03,,,,,,
