,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,06,2019,02,08,02,14,703,1800,24,0,1,12,14,03,000000830,06,,,,03,000000230,05,04,000000160,01,12,000000170,03,,,,,,
0,06,2019,02,08,09,10,016,1600,18,1,0,05,01,04,000001420,06,,,,04,000000400,07,07,000000220,03,03,000000260,05,,,,,,
0,06,2019,02,08,10,01,999,1200,24,0,1,11,13,15,000000830,04,,,,15,000000330,06,16,000000290,03,11,000000320,04,,,,,,
0,07,2019,02,04,01,10,703,1400,23,0,1,01,04,10,000000980,04,,,,10,000000270,04,09,000000150,01,13,000000430,05,,,,,,
0,07,2019,02,04,12,06,005,1200,11,1,0,02,04,09,000000310,01,,,,09,000000140,01,06,000000220,04,14,000000170,02,,,,,,
0,07,2019,02,04,12,08,005,1200,11,1,0,07,14,09,000000310,01,,,,09,000000140,01,06,000000220,04,14,000000170,02,,,,,,
0,09,2019,01,08,01,01,703,1400,24,0,2,13,08,16,000000300,01,,,,16,000000140,01,15,000000150,03,08,000000160,04,,,,,,
0,09,2019,01,08,02,03,703,1200,24,0,2,08,10,11,000000290,01,,,,11,000000130,02,16,000000150,03,06,000000130,01,,,,,,
0,09,2019,01,08,05,07,005,1400,24,0,2,08,14,13,000001320,07,,,,13,000000470,08,06,000000250,02,05,000000350,06,,,,,,
0,09,2019,01,08,05,14,005,1400,24,0,2,05,02,13,000001320,07,,,,13,000000470,08,06,000000250,02,05,000000350,06,,,,,,
0,09,2019,01,08,07,03,005,2400,18,2,0,04,04,09,000000470,02,,,,09,000000160,02,04,000000160,01,10,000000160,03,,,,,,
0,09,2019,01,08,12,03,010,1400,24,0,2,10,11,05,000001150,04,,,,05,000000220,04,09,000000120,01,12,000000170,03,,,,,,
