,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
2,20190105,0.0,8.33,8.33,0.0,23.33
3,20190106,0.0,25.0,25.0,0.0,112.5
4,20190112,25.0,25.0,37.5,43.75,73.75
5,20190113,20.0,30.0,30.0,232.0,95.0
6,20190114,8.33,16.67,25.0,46.67,75.83
7,20190119,13.64,18.18,18.18,80.45,42.27
8,20190120,0.0,0.0,6.25,0.0,9.38
9,20190126,15.38,15.38,23.08,297.69,93.85
10,20190127,4.76,14.29,23.81,63.33,49.52
11,20190202,0.0,13.04,17.39,0.0,101.3
12,20190203,5.26,15.79,42.11,9.47,155.26
13,20190209,0.0,5.88,5.88,164.71,78.24
14,20190210,0.0,0.0,5.88,0.0,68.24
15,20190216,0.0,5.26,21.05,0.0,52.63
16,20190217,0.0,4.55,13.64,0.0,20.0
17,20190223,11.76,29.41,35.29,45.29,72.94
18,20190224,8.33,8.33,8.33,1167.5,326.67
19,20190302,7.14,7.14,7.14,22.86,9.29
20,20190303,10.0,15.0,25.0,288.0,101.0
21,20190309,0.0,5.26,5.26,0.0,43.16
22,20190310,13.33,13.33,26.67,42.0,92.67
23,20190316,17.65,23.53,35.29,85.88,139.41
24,20190317,8.33,16.67,16.67,81.67,40.83
25,20190323,0.0,4.55,18.18,0.0,77.27
26,20190324,11.11,11.11,11.11,361.11,62.22
27,20190330,0.0,11.11,22.22,0.0,40.0
28,20190331,0.0,11.11,22.22,0.0,42.22
29,20190406,5.0,15.0,20.0,533.0,175.0
30,20190407,11.76,23.53,35.29,345.88,301.18
31,20190413,4.55,4.55,18.18,109.55,59.09
32,20190414,12.5,16.67,25.0,124.58,62.5
33,20190420,5.56,5.56,16.67,25.0,54.44
34,20190421,0.0,0.0,18.18,0.0,10.0
35,20190427,0.0,0.0,18.18,0.0,102.73
36,20190428,16.67,16.67,33.33,130.83,102.5
37,20190429,13.33,33.33,33.33,203.33,102.67
38,20190504,0.0,0.0,16.67,0.0,98.33
0,20190505,0.0,0.0,15.0,0.0,188.5
