,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,04,2019,01,04,01,06,703,1800,23,0,1,01,01,06,000000230,01,,,,06,000000120,01,07,000001350,09,09,000000210,05,,,,,,
0,04,2019,01,04,03,12,703,1800,23,0,1,12,05,11,000002870,09,,,,11,000000550,09,13,000000440,07,05,000000150,01,,,,,,
0,04,2019,01,04,06,01,703,2000,11,1,0,07,08,05,000000630,03,,,,05,000000240,02,08,000000320,04,11,000000530,07,,,,,,
0,04,2019,01,04,07,07,005,1800,23,0,1,08,05,08,000000290,02,,,,08,000000130,01,01,000000170,04,11,000000160,03,,,,,,
0,05,2019,02,06,07,11,005,1600,23,0,3,13,08,09,000000230,01,,,,09,000000130,01,02,000000130,02,14,000001350,10,,,,,,
0,05,2019,02,06,09,12,016,1600,11,1,0,02,03,10,000000770,04,,,,10,000000330,05,12,000000250,03,15,000000770,10,,,,,,
0,05,2019,02,06,09,15,016,1600,11,1,0,03,11,10,000000770,04,,,,10,000000330,05,12,000000250,03,15,000000770,10,,,,,,
0,08,2019,03,06,04,02,703,1600,17,1,0,06,10,09,000000760,04,,,,09,000000210,02,12,000000370,07,13,000000260,05,,,,,,
0,08,2019,03,06,04,06,703,1600,17,1,0,00,00,09,000000760,04,,,,09,000000210,02,12,000000370,07,13,000000260,05,,,,,,
0,08,2019,03,06,07,08,005,1200,24,0,1,07,07,05,000000450,03,,,,05,000000140,03,11,000000130,01,09,000000310,06,,,,,,
0,08,2019,03,06,09,04,016,1800,24,0,1,14,13,02,000001230,06,,,,02,000000280,06,08,000000240,04,15,000000180,02,,,,,,
0,08,2019,03,06,09,12,016,1800,24,0,1,08,05,02,000001230,06,,,,02,000000280,06,08,000000240,04,15,000000180,02,,,,,,
0,08,2019,03,06,12,08,010,1600,18,1,0,03,09,09,000000310,01,,,,09,000000170,01,07,000000240,06,08,000001610,09,,,,,,
