,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
0,20190105,8.33,25.0,25.0,20.0,141.67
1,20190106,0.0,50.0,50.0,0.0,136.67
2,20190112,25.0,25.0,50.0,110.0,180.0
3,20190113,0.0,0.0,11.11,0.0,23.33
4,20190114,50.0,50.0,50.0,2402.5,400.0
5,20190119,14.29,21.43,21.43,142.86,42.14
6,20190120,0.0,25.0,25.0,0.0,42.5
7,20190126,16.67,16.67,33.33,30.0,38.33
8,20190127,8.33,8.33,8.33,100.83,23.33
9,20190202,0.0,22.22,44.44,0.0,85.56
10,20190203,0.0,14.29,42.86,0.0,115.71
11,20190209,11.11,22.22,33.33,36.67,125.56
12,20190210,14.29,28.57,35.71,102.14,261.43
13,20190216,10.0,20.0,30.0,179.0,78.0
14,20190217,9.09,18.18,27.27,45.45,41.82
15,20190223,0.0,0.0,16.67,0.0,130.0
16,20190224,0.0,0.0,0.0,0.0,0.0
17,20190302,16.67,16.67,16.67,48.33,18.33
18,20190303,16.67,16.67,16.67,266.67,85.0
19,20190309,0.0,0.0,0.0,0.0,0.0
20,20190310,5.26,10.53,10.53,10.0,12.11
21,20190316,0.0,0.0,0.0,0.0,0.0
22,20190317,14.29,14.29,14.29,387.14,84.29
23,20190323,0.0,11.11,33.33,0.0,118.89
24,20190324,0.0,10.0,10.0,0.0,11.0
25,20190330,0.0,0.0,0.0,0.0,0.0
26,20190331,0.0,33.33,33.33,0.0,60.0
27,20190406,0.0,0.0,0.0,0.0,0.0
28,20190407,0.0,12.5,25.0,0.0,87.5
29,20190413,0.0,0.0,0.0,0.0,0.0
30,20190414,10.0,20.0,20.0,290.0,162.0
31,20190420,0.0,11.11,33.33,0.0,72.22
32,20190421,0.0,0.0,0.0,0.0,0.0
33,20190427,0.0,60.0,60.0,0.0,138.0
34,20190428,0.0,16.67,16.67,0.0,23.33
35,20190429,0.0,0.0,25.0,0.0,42.5
36,20190504,0.0,11.11,33.33,0.0,154.44
0,20190505,7.69,15.38,30.77,17.69,211.54
