,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,04,2019,01,04,02,13,703,1200,23,0,1,15,11,14,000000160,01,,,,14,000000110,01,04,000000150,02,09,000001040,10,,,,,,
0,04,2019,01,04,02,14,703,1200,23,0,1,01,01,14,000000160,01,,,,14,000000110,01,04,000000150,02,09,000001040,10,,,,,,
0,04,2019,01,04,04,01,703,2890,56,1,0,11,14,05,000000260,01,,,,05,000000130,01,12,000001010,11,13,000000270,04,,,,,,
0,04,2019,01,04,04,05,703,2890,56,1,0,01,01,05,000000260,01,,,,05,000000130,01,12,000001010,11,13,000000270,04,,,,,,
0,04,2019,01,04,05,08,703,1400,11,1,0,14,15,14,000002380,08,,,,14,000000580,09,05,000000180,04,13,000000170,02,,,,,,
0,04,2019,01,04,06,04,703,2000,11,1,0,12,11,05,000000630,03,,,,05,000000240,02,08,000000320,04,11,000000530,07,,,,,,
0,04,2019,01,04,06,08,703,2000,11,1,0,02,04,05,000000630,03,,,,05,000000240,02,08,000000320,04,11,000000530,07,,,,,,
0,04,2019,01,04,11,16,999,1600,12,1,0,11,02,02,000007000,14,,,,02,000001500,15,15,000000150,01,10,000000760,10,,,,,,
0,05,2019,02,06,01,08,703,1600,23,0,4,08,10,03,000001410,06,,,,03,000000300,06,07,000000110,01,09,000000180,03,,,,,,
0,05,2019,02,06,02,13,703,1400,23,0,4,08,10,04,000000300,01,,,,04,000000150,01,02,000000250,04,07,000000320,05,,,,,,
0,05,2019,02,06,02,15,703,1400,23,0,4,13,02,04,000000300,01,,,,04,000000150,01,02,000000250,04,07,000000320,05,,,,,,
0,05,2019,02,06,05,05,005,1400,11,2,0,01,01,05,000000150,01,,,,05,000000110,01,01,000000150,03,09,000000410,07,,,,,,
0,05,2019,02,06,07,09,005,1600,23,0,3,01,01,09,000000230,01,,,,09,000000130,01,02,000000130,02,14,000001350,10,,,,,,
0,05,2019,02,06,11,12,999,1600,11,1,0,09,09,17,000000430,02,,,,17,000000210,02,18,000001270,12,10,000000750,07,,,,,,
0,05,2019,02,06,12,07,010,1600,23,0,3,11,01,15,000000350,02,,,,15,000000150,02,12,000000280,05,16,000000280,04,,,,,,
0,08,2019,03,06,01,02,703,1800,24,0,1,11,08,08,000000350,01,,,,08,000000130,01,07,000000190,04,05,000000170,03,,,,,,
0,08,2019,03,06,01,03,703,1800,24,0,1,08,11,08,000000350,01,,,,08,000000130,01,07,000000190,04,05,000000170,03,,,,,,
0,08,2019,03,06,02,04,703,1400,24,0,1,05,10,11,000000140,01,,,,11,000000110,01,15,000000350,07,09,000000330,06,,,,,,
0,08,2019,03,06,07,06,005,1200,24,0,1,11,09,05,000000450,03,,,,05,000000140,03,11,000000130,01,09,000000310,06,,,,,,
0,08,2019,03,06,10,12,999,1400,18,1,0,09,15,07,000000550,02,,,,07,000000160,02,01,000000130,01,06,000000510,09,,,,,,
