,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
0,20190105,12.5,16.67,20.83,70.83,67.5
1,20190106,8.33,16.67,16.67,56.67,52.5
2,20190112,15.38,23.08,30.77,72.31,49.23
3,20190113,8.7,13.04,21.74,52.61,138.7
4,20190114,4.35,13.04,13.04,9.13,22.17
5,20190113,8.7,13.04,21.74,52.61,138.7
6,20190114,4.35,13.04,13.04,9.13,22.17
7,20190119,5.26,12.28,19.3,14.04,70.88
8,20190120,1.64,6.56,18.03,20.66,88.36
9,20190126,2.33,9.3,11.63,4.19,12.56
10,20190127,9.68,12.9,16.13,120.97,64.19
11,20190202,1.79,14.29,23.21,5.0,75.36
12,20190203,2.5,10.0,17.5,56.5,42.25
13,20190209,5.88,11.76,11.76,53.53,74.12
14,20190210,2.0,10.0,20.0,2.8,48.0
15,20190211,0.0,0.0,0.0,154.81,76.67
16,20190216,7.5,7.5,15.0,46.5,45.5
17,20190217,3.12,9.38,12.5,13.75,27.81
18,20190223,8.0,12.0,16.0,78.0,44.6
19,20190224,3.17,9.52,17.46,7.78,40.95
20,20190302,3.85,7.69,17.31,10.77,41.73
21,20190303,0.0,4.55,15.91,0.0,44.09
22,20190309,4.55,15.91,20.45,421.36,109.77
23,20190310,10.34,17.24,24.14,66.03,66.03
24,20190316,6.98,16.28,23.26,34.65,52.79
25,20190317,3.85,19.23,23.08,7.31,49.23
26,20190323,9.38,21.88,21.88,44.38,44.06
27,20190324,6.67,20.0,22.22,40.44,45.78
28,20190330,2.86,20.0,31.43,17.14,81.71
29,20190331,20.0,28.0,32.0,856.8,271.2
30,20190406,5.0,15.0,25.0,32.67,67.83
31,20190407,6.38,14.89,25.53,23.19,66.6
32,20190413,22.73,22.73,27.27,119.09,182.27
33,20190414,20.0,20.0,30.0,368.0,166.0
34,20190420,8.11,18.92,27.03,35.14,55.41
35,20190421,5.56,18.52,22.22,14.26,42.78
36,20190427,11.11,14.81,29.63,44.81,55.19
37,20190428,5.0,15.0,25.0,7.5,65.0
38,20190429,28.57,42.86,57.14,1867.14,532.86
39,20190504,8.33,12.5,20.83,75.42,42.92
40,20190505,20.0,25.0,25.0,40.0,40.0
41,20190511,6.25,12.5,25.0,63.75,108.12
0,20190512,10.53,15.79,15.79,51.05,56.32
