,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,04,2019,01,04,02,12,703,1200,23,0,1,06,03,14,000000160,01,,,,14,000000110,01,04,000000150,02,09,000001040,10,,,,,,
0,04,2019,01,04,03,07,703,1800,23,0,1,07,08,11,000002870,09,,,,11,000000550,09,13,000000440,07,05,000000150,01,,,,,,
0,04,2019,01,04,03,15,703,1800,23,0,1,04,04,11,000002870,09,,,,11,000000550,09,13,000000440,07,05,000000150,01,,,,,,
0,04,2019,01,04,06,10,703,2000,11,1,0,11,14,05,000000630,03,,,,05,000000240,02,08,000000320,04,11,000000530,07,,,,,,
0,04,2019,01,04,07,05,005,1800,23,0,1,05,08,08,000000290,02,,,,08,000000130,01,01,000000170,04,11,000000160,03,,,,,,
0,04,2019,01,04,08,13,005,1200,23,0,1,05,05,07,000000580,03,,,,07,000000200,03,11,000000300,04,05,000000360,07,,,,,,
0,04,2019,01,04,09,09,005,1000,10,1,0,15,14,15,000000420,01,,,,15,000000180,01,05,000000320,05,14,000000540,09,,,,,,
0,04,2019,01,04,09,16,005,1000,10,1,0,07,02,15,000000420,01,,,,15,000000180,01,05,000000320,05,14,000000540,09,,,,,,
0,04,2019,01,04,10,14,005,1800,12,1,0,14,15,05,000002180,08,,,,05,000000540,07,12,000000490,05,03,000000600,08,,,,,,
0,04,2019,01,04,12,09,010,1200,23,0,1,12,14,10,000003050,10,,,,10,000000770,10,06,000000250,03,04,000001890,13,,,,,,
0,05,2019,02,06,01,11,703,1600,23,0,4,13,11,03,000001410,06,,,,03,000000300,06,07,000000110,01,09,000000180,03,,,,,,
0,05,2019,02,06,02,03,703,1400,23,0,4,12,11,04,000000300,01,,,,04,000000150,01,02,000000250,04,07,000000320,05,,,,,,
0,05,2019,02,06,04,07,703,2300,11,2,0,01,01,07,000000250,01,,,,07,000000120,01,10,000000150,03,14,000000180,04,,,,,,
0,05,2019,02,06,06,13,005,1400,23,0,3,12,09,12,000001140,06,,,,12,000000330,07,01,000000160,02,03,000000170,03,,,,,,
0,05,2019,02,06,07,06,005,1600,23,0,3,12,14,09,000000230,01,,,,09,000000130,01,02,000000130,02,14,000001350,10,,,,,,
0,05,2019,02,06,08,05,010,2000,11,1,0,08,04,08,000000250,01,,,,08,000000120,01,03,000000130,03,01,000000460,08,,,,,,
0,05,2019,02,06,09,13,016,1600,11,1,0,07,02,10,000000770,04,,,,10,000000330,05,12,000000250,03,15,000000770,10,,,,,,
0,05,2019,02,06,10,11,999,2100,23,0,3,11,09,05,000000420,01,,,,05,000000190,01,07,000000280,06,02,000000220,02,,,,,,
0,05,2019,02,06,11,09,999,1600,11,1,0,17,17,17,000000430,02,,,,17,000000210,02,18,000001270,12,10,000000750,07,,,,,,
0,05,2019,02,06,11,10,999,1600,11,1,0,03,07,17,000000430,02,,,,17,000000210,02,18,000001270,12,10,000000750,07,,,,,,
0,05,2019,02,06,11,13,999,1600,11,1,0,13,06,17,000000430,02,,,,17,000000210,02,18,000001270,12,10,000000750,07,,,,,,
0,08,2019,03,06,05,11,703,1800,18,1,0,01,05,11,000001180,05,,,,11,000000360,04,06,000000480,06,05,000000240,03,,,,,,
0,08,2019,03,06,06,10,005,1400,24,0,1,14,10,05,000000270,01,,,,05,000000160,01,12,000000170,03,15,000000860,13,,,,,,
0,08,2019,03,06,06,15,005,1400,24,0,1,03,13,05,000000270,01,,,,05,000000160,01,12,000000170,03,15,000000860,13,,,,,,
0,08,2019,03,06,07,09,005,1200,24,0,1,03,06,05,000000450,03,,,,05,000000140,03,11,000000130,01,09,000000310,06,,,,,,
0,08,2019,03,06,11,08,999,1200,17,1,0,09,17,04,000000180,01,,,,04,000000120,01,09,000000230,04,07,000000210,03,,,,,,
0,08,2019,03,06,11,11,999,1200,17,1,0,14,06,04,000000180,01,,,,04,000000120,01,09,000000230,04,07,000000210,03,,,,,,
0,08,2019,03,06,11,14,999,1200,17,1,0,08,08,04,000000180,01,,,,04,000000120,01,09,000000230,04,07,000000210,03,,,,,,
0,08,2019,03,06,12,05,010,1600,18,1,0,08,02,09,000000310,01,,,,09,000000170,01,07,000000240,06,08,000001610,09,,,,,,
