,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
0,20190105,0.0,5.26,21.05,0.0,124.21
1,20190106,6.25,12.5,25.0,28.12,163.12
2,20190112,7.14,7.14,7.14,82.14,23.57
3,20190113,5.56,16.67,16.67,20.0,35.0
4,20190114,8.33,8.33,8.33,309.17,51.67
5,20190119,3.12,12.5,18.75,16.25,53.75
6,20190120,19.05,23.81,33.33,99.05,59.52
7,20190126,0.0,9.09,18.18,0.0,33.64
8,20190127,9.09,18.18,22.73,46.82,45.45
9,20190202,0.0,6.67,6.67,0.0,18.67
10,20190203,0.0,4.17,8.33,0.0,17.08
11,20190209,0.0,4.76,9.52,10.0,23.81
12,20190210,0.0,6.67,16.67,0.0,74.33
13,20190216,0.0,17.39,17.39,0.0,50.87
14,20190217,23.08,26.92,26.92,299.23,99.23
15,20190223,3.45,6.9,10.34,47.93,25.86
16,20190224,7.89,15.79,21.05,85.53,56.05
17,20190302,3.57,7.14,17.86,10.0,60.0
18,20190303,2.94,5.88,14.71,44.41,55.0
19,20190309,2.56,5.13,5.13,19.23,11.54
20,20190310,6.67,13.33,20.0,29.0,48.0
21,20190316,5.56,11.11,16.67,8.89,72.78
22,20190317,11.11,14.81,22.22,199.63,86.67
23,20190323,4.17,16.67,20.83,20.42,72.5
24,20190324,7.14,10.71,21.43,37.5,43.21
25,20190330,4.76,4.76,4.76,86.19,19.52
26,20190331,5.0,10.0,20.0,9.0,32.0
27,20190406,12.5,33.33,45.83,182.92,201.25
28,20190407,7.14,10.71,14.29,46.43,39.64
29,20190413,0.0,0.0,8.7,0.0,20.87
30,20190414,8.33,12.5,16.67,65.83,157.5
31,20190105,0.0,5.26,21.05,0.0,124.21
32,20190106,6.25,12.5,25.0,28.12,163.12
33,20190112,7.14,7.14,7.14,82.14,23.57
34,20190113,5.56,16.67,16.67,20.0,35.0
35,20190114,8.33,8.33,8.33,309.17,51.67
36,20190119,3.12,12.5,18.75,16.25,53.75
37,20190120,19.05,23.81,33.33,99.05,59.52
38,20190126,0.0,9.09,18.18,0.0,33.64
39,20190127,9.09,18.18,22.73,46.82,45.45
40,20190202,0.0,6.67,6.67,0.0,18.67
41,20190203,0.0,4.17,8.33,0.0,17.08
42,20190209,0.0,4.76,9.52,10.0,23.81
43,20190210,0.0,6.67,16.67,0.0,74.33
44,20190216,0.0,17.39,17.39,0.0,50.87
45,20190217,23.08,26.92,26.92,299.23,99.23
46,20190223,3.45,6.9,10.34,47.93,25.86
47,20190224,7.89,15.79,21.05,85.53,56.05
48,20190302,3.57,7.14,17.86,10.0,60.0
49,20190303,2.94,5.88,14.71,44.41,55.0
50,20190309,2.56,5.13,5.13,19.23,11.54
51,20190310,6.67,13.33,20.0,29.0,48.0
52,20190316,5.56,11.11,16.67,8.89,72.78
53,20190317,11.11,14.81,22.22,199.63,86.67
54,20190323,4.17,16.67,20.83,20.42,72.5
55,20190324,7.14,10.71,21.43,37.5,43.21
56,20190330,4.76,4.76,4.76,86.19,19.52
57,20190331,5.0,10.0,20.0,9.0,32.0
58,20190406,12.5,33.33,45.83,182.92,201.25
59,20190407,7.14,10.71,14.29,46.43,39.64
60,20190413,0.0,0.0,8.7,0.0,20.87
61,20190414,8.33,12.5,16.67,65.83,157.5
62,20190105,0.0,5.26,21.05,0.0,124.21
63,20190106,6.25,12.5,25.0,28.12,163.12
64,20190112,7.14,7.14,7.14,82.14,23.57
65,20190113,5.56,16.67,16.67,20.0,35.0
66,20190114,8.33,8.33,8.33,309.17,51.67
67,20190119,3.12,12.5,18.75,16.25,53.75
68,20190120,19.05,23.81,33.33,99.05,59.52
69,20190126,0.0,9.09,18.18,0.0,33.64
70,20190127,9.09,18.18,22.73,46.82,45.45
71,20190202,0.0,6.67,6.67,0.0,18.67
72,20190203,0.0,4.17,8.33,0.0,17.08
73,20190209,0.0,4.76,9.52,10.0,23.81
74,20190210,0.0,6.67,16.67,0.0,74.33
75,20190216,0.0,17.39,17.39,0.0,50.87
76,20190217,23.08,26.92,26.92,299.23,99.23
77,20190223,3.45,6.9,10.34,47.93,25.86
78,20190224,7.89,15.79,21.05,85.53,56.05
79,20190302,3.57,7.14,17.86,10.0,60.0
80,20190303,2.94,5.88,14.71,44.41,55.0
81,20190309,2.56,5.13,5.13,19.23,11.54
82,20190310,6.67,13.33,20.0,29.0,48.0
83,20190316,5.56,11.11,16.67,8.89,72.78
84,20190317,11.11,14.81,22.22,199.63,86.67
85,20190323,4.17,16.67,20.83,20.42,72.5
86,20190324,7.14,10.71,21.43,37.5,43.21
87,20190330,4.76,4.76,4.76,86.19,19.52
88,20190331,5.0,10.0,20.0,9.0,32.0
89,20190406,12.5,33.33,45.83,182.92,201.25
90,20190407,7.14,10.71,14.29,46.43,39.64
91,20190413,0.0,0.0,8.7,0.0,20.87
92,20190414,8.33,12.5,16.67,65.83,157.5
93,20190420,7.14,10.71,25.0,175.36,101.79
94,20190421,10.34,13.79,24.14,22.41,113.1
95,20190427,7.14,21.43,28.57,46.43,102.86
96,20190428,0.0,7.14,14.29,0.0,15.0
97,20190429,0.0,12.5,20.83,0.0,43.75
98,20190504,11.54,19.23,19.23,165.77,70.77
0,20190505,6.9,6.9,17.24,49.31,82.76
