,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,03,2019,01,06,02,11,703,1200,17,1,0,03,07,02,000001210,06,,,,02,000000310,05,10,000000380,06,11,000000500,07,,,,,,
0,03,2019,01,06,02,14,703,1200,17,1,0,06,02,02,000001210,06,,,,02,000000310,05,10,000000380,06,11,000000500,07,,,,,,
0,03,2019,01,06,11,08,010,1200,17,1,0,03,01,15,000002090,10,,,,15,000000440,10,11,000000220,02,08,000000150,01,,,,,,
0,05,2019,02,02,05,01,703,1600,11,1,0,06,05,12,000000900,04,,,,12,000000180,04,06,000000150,03,04,000000110,01,,,,,,
0,05,2019,02,02,05,12,703,1600,11,1,0,01,04,12,000000900,04,,,,12,000000180,04,06,000000150,03,04,000000110,01,,,,,,
0,05,2019,02,02,05,14,703,1600,11,1,0,09,02,12,000000900,04,,,,12,000000180,04,06,000000150,03,04,000000110,01,,,,,,
0,05,2019,02,02,06,07,005,1600,23,0,1,08,03,12,000000110,01,,,,12,000000100,01,10,000000180,03,03,000000230,05,,,,,,
0,08,2019,03,02,03,18,703,1400,17,1,0,00,05,08,000000860,03,,,,08,000000240,03,06,000000470,07,04,000000340,05,,,,,,
0,08,2019,03,02,05,01,703,1800,18,1,0,02,02,06,000000250,01,,,,06,000000110,01,01,000000120,02,10,000000140,03,,,,,,
0,08,2019,03,02,05,05,703,1800,18,1,0,13,10,06,000000250,01,,,,06,000000110,01,01,000000120,02,10,000000140,03,,,,,,
0,08,2019,03,02,06,01,005,1800,24,0,1,04,04,02,000000420,02,,,,02,000000230,02,07,000000320,05,00,,,,,,,,
0,08,2019,03,02,08,08,005,1800,18,1,0,01,02,08,000000570,02,,,,08,000000140,02,05,000000210,04,06,000000110,01,,,,,,
0,08,2019,03,02,08,10,005,1800,18,1,0,10,09,08,000000570,02,,,,08,000000140,02,05,000000210,04,06,000000110,01,,,,,,
0,08,2019,03,02,09,08,010,2200,18,1,0,03,04,07,000000480,02,,,,07,000000160,02,01,000000120,01,08,000000180,04,,,,,,
0,08,2019,03,02,11,04,999,1600,18,1,0,07,03,06,000000130,01,,,,06,000000110,01,08,000000230,05,02,000000190,03,,,,,,
0,08,2019,03,02,11,10,999,1600,18,1,0,08,07,06,000000130,01,,,,06,000000110,01,08,000000230,05,02,000000190,03,,,,,,
0,08,2019,03,02,12,01,010,1200,24,0,1,04,11,06,000000180,01,,,,06,000000110,01,05,000000370,05,04,000000200,03,,,,,,
