,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
0,20190105,0.0,0.0,0.0,0.0,0.0
1,20190106,0.0,0.0,0.0,0.0,0.0
2,20190112,50.0,75.0,75.0,540.0,332.5
3,20190113,20.0,20.0,20.0,112.0,42.0
4,20190114,12.5,37.5,37.5,116.25,57.5
5,20190119,14.29,14.29,57.14,295.71,308.57
6,20190120,10.0,20.0,30.0,20.0,71.0
7,20190126,0.0,0.0,20.0,0.0,50.0
8,20190127,14.29,28.57,28.57,95.71,51.43
9,20190202,0.0,0.0,16.67,0.0,71.67
10,20190203,0.0,0.0,0.0,0.0,0.0
11,20190209,10.0,20.0,30.0,27.0,49.0
12,20190210,0.0,0.0,0.0,0.0,0.0
13,20190216,0.0,10.0,30.0,0.0,74.0
14,20190217,0.0,0.0,0.0,0.0,0.0
15,20190223,0.0,0.0,0.0,0.0,0.0
16,20190224,0.0,16.67,33.33,0.0,126.67
17,20190302,0.0,0.0,0.0,0.0,0.0
18,20190303,0.0,16.67,33.33,0.0,78.33
19,20190309,0.0,20.0,20.0,0.0,72.0
20,20190310,0.0,33.33,33.33,0.0,70.0
21,20190316,22.22,44.44,55.56,88.89,264.44
22,20190317,0.0,0.0,14.29,0.0,18.57
23,20190323,0.0,25.0,25.0,0.0,70.0
24,20190324,10.0,30.0,40.0,53.0,71.0
25,20190330,0.0,0.0,40.0,0.0,80.0
26,20190331,0.0,0.0,0.0,0.0,0.0
27,20190406,22.22,44.44,44.44,151.11,170.0
28,20190407,10.0,20.0,20.0,560.0,74.0
29,20190413,0.0,28.57,28.57,0.0,178.57
30,20190414,0.0,20.0,46.67,0.0,110.0
31,20190420,14.29,28.57,28.57,20.0,42.86
32,20190421,11.76,17.65,35.29,86.47,74.71
33,20190427,0.0,0.0,0.0,0.0,0.0
34,20190428,0.0,12.5,37.5,0.0,56.25
35,20190429,6.67,6.67,6.67,8.0,7.33
36,20190504,40.0,60.0,60.0,142.0,298.0
0,20190505,0.0,18.18,36.36,0.0,152.73
