,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,3,02,02,リトルモンスター
0,06,19,2,3,06,06,プリマヴェージ
0,06,19,2,3,06,13,カナロアガール
0,06,19,2,3,07,06,マンゴープリン
0,06,19,2,3,09,14,ペイシャスター
0,06,19,2,3,10,02,ベルウッドテラス
0,06,19,2,3,10,03,ピアシングステア
0,06,19,2,3,10,07,セイカエドミザカ
0,09,19,1,3,01,00,アルムポノポノ
0,09,19,1,3,06,02,ゼルク
0,09,19,1,3,07,04,ショウナンタイガ
0,10,19,1,7,02,07,マイディスティニー
0,10,19,1,7,04,04,ローマンウォリアー
0,10,19,1,7,08,03,ケアリアポンド
0,10,19,1,7,08,06,クロンヌデトワール
0,10,19,1,7,09,08,ディナミーデン
0,10,19,1,7,09,13,スノーマン
0,10,19,1,7,12,17,ディーグランデ
