,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,04,19,1,3,02,04,ダンツスピリット
0,04,19,1,3,05,14,メイクアンシー
0,04,19,1,3,06,02,トップアスリート
0,04,19,1,3,07,13,カズミドリーム
0,04,19,1,3,07,15,マッスルマサムネ
0,04,19,1,3,09,04,マセラシオン
0,04,19,1,3,10,02,ミヤケ
0,04,19,1,3,12,05,ショウナンタイザン
0,04,19,1,3,12,10,イルルーメ
0,04,19,1,3,12,12,エスペランサリュウ
0,05,19,2,5,01,05,コーヴ
0,05,19,2,5,04,02,ケイズデイジー
0,05,19,2,5,07,06,オルクリスト
0,05,19,2,5,08,01,ディアジラソル
0,05,19,2,5,10,04,ブレスジャーニー
0,08,19,3,5,01,10,メイショウサザナミ
0,08,19,3,5,02,06,モズナリマツ
0,08,19,3,5,02,10,マーティンシャップ
0,08,19,3,5,11,14,モズベッロ
