,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,4,01,02,ヴァニラシェイク
0,06,19,2,4,01,07,コスモアドム
0,06,19,2,4,01,14,アミュリオン
0,06,19,2,4,02,01,ミツカネラクリス
0,06,19,2,4,02,07,ビバーチェランラン
0,06,19,2,4,02,09,ノアキセキ
0,06,19,2,4,02,14,ペイシャキュウ
0,06,19,2,4,02,16,ブラックコメディ
0,06,19,2,4,05,05,アルママ
0,06,19,2,4,05,12,チャーチスクエア
0,06,19,2,4,06,05,レッドサイオン
0,06,19,2,4,08,03,サンジレット
0,06,19,2,4,10,05,ハイランドピーク
0,06,19,2,4,11,02,ニシノデイジー
0,06,19,2,4,11,05,シュヴァルツリーゼ
0,06,19,2,4,11,07,ラバストーン
0,09,19,1,4,01,04,ナムラマナナ
0,09,19,1,4,01,05,グレースベイ
0,09,19,1,4,01,13,ホームアゲイン
0,09,19,1,4,02,03,ナムラシンゲキ
0,09,19,1,4,02,05,バロンキング
0,09,19,1,4,02,09,タイセイクルーガー
0,09,19,1,4,03,08,ニホンピロマーサ
0,09,19,1,4,03,10,ブラッディムーン
0,09,19,1,4,03,11,テイエムカイリキ
0,09,19,1,4,03,14,コウエイスパークル
0,09,19,1,4,03,16,サダムオリジン
0,09,19,1,4,05,01,ルベリエ
0,09,19,1,4,05,04,サウンドカナロア
0,09,19,1,4,05,05,マイマーベラスワン
0,09,19,1,4,05,09,ゼットマリオン
0,09,19,1,4,05,13,イルフェソレイユ
0,09,19,1,4,07,04,クリノオスマン
0,09,19,1,4,09,01,ファストフラッシュ
0,10,19,1,8,01,02,コンシード
0,10,19,1,8,01,08,カシノブレンド
0,10,19,1,8,02,11,プリンシアブラスカ
0,10,19,1,8,03,18,マハロモアナ
0,10,19,1,8,05,17,デュエットソング
0,10,19,1,8,06,01,エクスパートラン
0,10,19,1,8,07,06,クロスアミュレット
0,10,19,1,8,08,07,サレンティーナ
0,10,19,1,8,10,09,グットラン
0,10,19,1,8,12,01,オートヴィル
