,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,05,19,1,4,07,08,クラウンジャミール
0,05,19,1,4,11,04,ストーミーシー
0,05,19,1,4,11,11,ジャンダルム
0,05,19,1,4,12,10,スフェーン
0,07,19,1,6,01,10,アサミン
0,07,19,1,6,01,16,ヒロノトウリョウ
0,07,19,1,6,02,01,クリムトゥ
0,07,19,1,6,02,15,シゲルヒスイ
0,07,19,1,6,03,02,ロマンスマジック
0,07,19,1,6,03,03,グランデミノル
0,07,19,1,6,03,08,カズミドリーム
0,07,19,1,6,03,11,ディーズエフォート
0,07,19,1,6,04,03,ローレルヴィクター
0,07,19,1,6,09,12,ターフェルムジーク
0,07,19,1,6,11,09,クールオープニング
0,08,19,2,4,03,02,タイセイチーフ
0,08,19,2,4,03,04,ジュンユウコー
0,08,19,2,4,04,03,エスケーアタランタ
0,08,19,2,4,07,01,マラビージャ
0,08,19,2,4,07,10,ダブルスプリット
0,08,19,2,4,08,10,サイモンサーマル
0,08,19,2,4,10,04,エメラルエナジー
0,08,19,2,4,11,07,アガラス
0,08,19,2,4,12,03,セータコローナ
