,jyoCd,Kyori,TrackCD,LR,taikei_0,taikei_1,taikei_2,taikei_3,taikei_4,taikei_5,taikei_10,taikei_11,taikei_12,taikei_13,taikei_14,taikei_15
0,06,1800,2,1,0,3,2,3,2,1,2,1,0,0,2,3
1,06,1800,2,1,2,2,2,3,2,1,2,1,0,0,2,3
2,06,1800,2,1,2,3,2,3,2,1,2,2,3,3,3,3
3,06,1800,2,1,2,2,2,3,2,1,2,2,0,0,2,3
4,06,1800,2,1,2,3,3,2,2,1,3,3,3,3,2,3
5,06,1800,2,1,2,3,3,2,2,2,3,3,0,0,3,3
6,06,1800,2,1,2,2,2,2,2,2,1,1,0,0,1,2
7,06,1800,2,1,2,3,3,2,2,1,2,2,3,0,3,3
8,06,1800,2,1,2,3,3,3,2,2,2,2,3,3,2,2
9,06,1800,2,1,2,3,3,2,2,2,1,1,2,1,2,2
10,06,1800,2,1,2,3,3,2,2,2,2,2,0,3,2,2
11,06,1800,2,1,0,2,2,3,2,2,2,2,0,0,2,3
12,06,1600,1,1,2,3,2,3,2,2,3,2,2,2,2,2
13,06,1600,1,1,0,3,2,3,2,1,3,2,2,1,2,2
14,06,1600,1,1,0,3,3,2,2,2,3,2,2,2,2,3
15,06,1600,1,1,2,3,2,2,2,1,3,2,0,0,2,3
16,06,1600,1,1,0,2,2,2,1,1,2,1,0,0,3,3
17,06,1600,1,1,0,3,3,3,2,1,2,1,0,0,2,2
18,06,1600,1,1,0,3,3,3,2,2,3,2,1,1,3,3
19,06,1600,1,1,2,3,3,3,2,2,3,2,2,2,3,3
20,06,1600,1,1,2,3,3,3,2,2,3,2,0,0,3,3
21,06,1600,1,1,0,3,2,3,2,1,2,1,0,0,2,3
22,06,1600,1,1,2,3,3,2,2,2,3,2,0,0,2,3
23,06,1600,1,1,2,3,3,3,3,2,3,2,3,3,2,2
24,06,1600,1,1,2,2,2,3,2,2,2,1,2,1,3,3
25,06,1800,2,1,2,2,2,3,3,2,2,1,3,3,3,3
26,06,1800,2,1,2,3,3,3,2,2,3,3,2,1,3,3
27,06,1800,2,1,2,3,2,2,2,1,2,2,3,3,3,3
28,06,1800,2,1,2,2,2,3,2,2,2,1,2,3,3,3
29,06,1800,2,1,3,3,2,2,2,1,1,1,2,1,2,2
30,06,1800,2,1,2,3,2,2,2,2,2,1,2,2,2,3
31,06,1800,2,1,2,2,2,3,2,1,2,1,3,2,2,3
32,06,1800,2,1,2,2,2,2,2,2,1,1,3,3,2,2
33,06,1800,2,1,2,3,2,2,2,1,2,2,2,2,2,2
34,06,1800,2,1,1,1,1,3,2,2,1,1,2,2,2,3
35,06,1800,2,1,2,3,2,3,2,2,2,1,3,3,2,2
36,06,1800,2,1,2,2,2,2,2,1,2,2,2,2,2,2
37,06,2000,1,1,2,3,2,3,2,2,2,1,2,2,1,1
38,06,2000,1,1,2,3,2,2,2,2,2,2,2,1,3,3
39,06,2000,1,1,2,2,2,2,2,2,2,2,2,1,2,2
40,06,2000,1,1,2,2,2,2,2,2,2,1,3,3,2,2
41,06,2000,1,1,2,3,2,2,2,1,2,2,2,3,3,3
42,06,2000,1,1,2,3,2,3,2,3,2,2,2,2,2,2
43,06,2000,1,1,3,3,3,2,2,1,3,2,1,1,3,3
44,06,2000,1,1,2,2,2,3,2,2,2,1,3,3,2,3
45,06,2000,1,1,2,2,2,2,2,1,2,1,2,1,2,2
46,06,2000,1,1,2,3,2,2,2,2,3,2,2,2,1,2
47,06,2000,1,1,2,3,2,2,2,2,3,3,0,0,3,3
48,06,2000,1,1,2,2,2,2,2,1,1,1,3,3,2,2
49,06,2000,1,1,2,3,2,3,2,1,2,2,3,3,1,2
50,06,1600,1,1,2,3,3,3,3,2,3,2,3,3,2,2
51,06,1600,1,1,2,2,2,2,2,2,2,2,2,1,2,2
52,06,1600,1,1,2,2,2,2,2,2,2,1,2,2,2,2
53,06,1600,1,1,2,3,3,3,2,2,3,2,3,3,2,2
54,06,1600,1,1,2,2,2,2,2,1,1,1,3,3,3,3
55,06,1600,1,1,2,3,3,3,2,2,3,2,2,2,2,3
56,06,1600,1,1,2,3,3,3,2,2,3,3,2,2,3,3
57,06,1600,1,1,2,3,2,3,2,1,2,1,3,3,2,2
58,06,1600,1,1,2,3,2,2,2,1,2,1,3,3,2,2
59,06,1600,1,1,2,3,3,3,2,2,3,2,0,0,3,3
60,06,1600,1,1,2,3,2,3,2,3,3,2,2,2,3,3
61,06,1600,1,1,2,3,3,3,2,2,2,1,1,1,3,3
62,06,1600,1,1,2,2,2,3,2,1,2,2,3,3,1,2
63,06,1600,1,1,0,2,2,3,2,2,2,1,0,0,2,3
64,08,1800,2,1,2,2,2,2,2,1,1,1,2,1,3,3
65,08,1800,2,1,2,2,2,2,2,2,2,1,2,2,0,0
66,08,1800,2,1,2,2,2,2,2,2,2,1,2,1,3,3
67,08,1800,2,1,2,2,2,2,2,2,3,2,2,2,2,2
68,08,1800,2,1,2,3,3,2,2,1,3,2,3,3,3,3
69,08,1800,2,1,2,2,2,2,2,1,2,1,2,2,2,2
70,08,1800,2,1,2,3,2,2,2,1,2,2,3,3,2,3
71,08,1800,2,1,2,2,2,2,2,1,2,2,3,3,3,3
72,08,1800,2,1,3,3,3,2,2,1,2,2,3,3,2,3
73,08,1800,2,1,3,3,3,3,2,2,2,2,2,2,3,2
74,08,1800,2,1,3,2,3,2,2,1,2,1,2,3,2,2
75,08,1800,2,1,2,2,2,3,2,2,3,2,0,0,2,3
76,08,1800,2,1,2,2,2,2,2,1,2,1,3,3,2,2
77,08,1900,2,1,2,2,2,2,2,2,1,1,3,3,0,0
78,08,1900,2,1,2,3,2,2,2,2,2,1,2,2,2,2
79,08,1900,2,1,2,2,2,2,2,2,2,1,3,2,2,2
80,08,1900,2,1,2,2,2,2,2,1,1,1,2,2,2,2
81,08,1900,2,1,2,2,2,2,2,1,3,2,2,2,2,2
82,08,1900,2,1,2,2,2,2,2,1,2,1,1,2,2,2
83,08,1900,2,1,2,2,2,2,2,2,2,1,2,1,1,1
84,08,1900,2,1,2,2,2,2,2,1,2,1,3,3,2,2
85,08,1900,2,1,2,3,3,2,2,2,3,2,2,2,2,2
86,08,1900,2,1,1,2,2,2,2,1,1,1,2,2,1,1
87,08,1900,2,1,2,2,2,2,2,2,2,1,2,1,1,2
88,08,1900,2,1,2,3,2,3,2,1,2,2,3,3,2,3
89,08,1900,2,1,2,2,2,2,2,2,2,1,2,2,2,2
90,08,1900,2,1,3,3,3,3,2,1,2,2,3,3,2,2
91,08,3000,1,1,2,3,2,2,2,2,2,1,2,2,3,3
92,08,3000,1,1,2,2,2,3,2,2,1,1,3,3,2,2
93,08,3000,1,1,2,2,2,2,2,2,1,1,2,2,2,2
94,08,3000,1,1,2,2,2,2,2,1,2,1,1,1,2,2
95,08,3000,1,1,2,2,2,2,2,1,1,1,2,2,3,3
96,08,3000,1,1,2,3,2,2,2,2,3,2,3,3,1,1
97,08,3000,1,1,2,2,2,3,2,2,2,1,2,1,3,3
98,08,3000,1,1,2,3,2,2,2,1,3,2,2,1,2,2
99,08,3000,1,1,3,2,3,2,2,2,3,2,2,2,2,2
100,08,3000,1,1,1,2,2,2,2,1,1,1,3,2,2,3
101,08,3000,1,1,2,3,2,2,2,1,2,2,2,1,2,2
102,08,1600,1,1,2,2,2,2,2,2,2,2,2,1,1,1
103,08,1600,1,1,2,2,2,2,2,2,2,2,2,2,2,2
104,08,1600,1,1,2,3,2,2,2,2,2,1,1,1,2,2
105,08,1600,1,1,2,3,2,3,2,2,2,1,0,0,2,2
106,08,1600,1,1,3,3,3,3,2,2,3,2,2,3,3,3
107,08,1600,1,1,2,2,2,2,2,1,2,1,3,2,3,3
108,08,1600,1,1,2,3,2,2,2,2,3,2,3,3,3,3
109,08,1600,1,1,2,3,2,3,2,1,2,1,0,0,3,3
110,08,1600,1,1,2,2,2,2,2,2,2,1,2,2,1,2
